Report Ending (weekly starting on Sundays),Number of Sessions,Average Session Length,Number of Unique Clients,TB Downloaded,TB Uploaded,Cumulative Bandwidth Utilization To Date (TB),Cumulative Sessions To Date,Cumulative Subscribers To Date,gb_per_session,sessions_per_user,activated_A,activated_B,retained_1w,retained_4w
11/08/2020,6333555,00:05:40,417195,74.61,6.71,18585.82,2685927801,9205391,0.013147699830505932,15.181282134253767,1,0,0.0,0.0
11/10/2024,4939313,00:33:09,308463,146.73,22.65,46020.95,3634156310,17062427,0.03511523161216955,16.012659541014642,1,0,0.0,0.0
11/12/2023,5302238,00:23:36,306918,159.72,24.33,37612.5,3396413056,14616604,0.03554483974502842,17.275747919639773,1,0,0.0,0.0
11/13/2022,4243050,00:23:06,238843,123.01,19.96,28440.39,3130421753,12287309,0.034503783834741515,17.765017187022437,0,0,0.0,1.0
11/14/2021,4154634,00:21:04,234881,105.43,19.07,22969.34,2961429568,10170958,0.03068573549439012,17.68825064607184,0,0,0.0,0.0
11/15/2020,6053652,00:05:43,390323,71.36,7.33,18664.51,2691981453,9219907,0.013310735404017277,15.509339700709413,1,0,0.0,0.0
11/17/2024,4848714,00:32:29,303912,137.55,21.14,46179.64,3639005024,17108079,0.03351374405667152,15.954335465529496,1,0,1.0,0.0
11/19/2023,5343473,00:23:32,304283,164.19,24.53,37801.22,3401756527,14655834,0.036165482636480055,17.560866035894218,1,1,0.0,0.0
11/20/2022,4033075,00:22:52,230120,120.24,17.1,28440.39,3130421840,12320340,0.034870702875597404,17.52596471406223,0,0,0.0,1.0
11/21/2021,4237874,00:21:04,238560,100.66,17.75,23087.39,2965657060,10198305,0.028611478302563973,17.76439470154259,0,0,0.0,1.0
11/22/2020,5932215,00:05:45,380393,72.73,6.77,18744.02,2697913668,9233024,0.013723035999200973,15.594963629719789,1,0,0.0,0.0
11/24/2024,4503162,00:32:56,299981,130.53,19.73,46329.9,3643508186,17152363,0.034168488719704064,15.011490727746091,0,0,1.0,0.0
11/26/2023,4691377,00:23:41,297100,146.81,22.41,37970.44,3406447904,14695544,0.03693612344520596,15.790565466173005,0,1,1.0,0.0
11/27/2022,3735131,00:23:20,227900,121.24,19.13,28580.39,3134153334,12357806,0.03848295548402452,16.38934181658622,0,1,0.0,0.0
11/28/2021,3775898,00:21:18,234001,89.91,15.08,23192.83,2969423283,10226863,0.028472633529825223,16.136247280994525,0,0,0.0,0.0
11/29/2020,4988340,00:05:47,374868,62.95,6.55,18813.51,2702902008,9245113,0.014266870341636697,13.306924037261116,1,0,0.0,0.0
12/01/2024,4142848,00:32:56,288939,121.96,19.31,46471.16,3647651034,17202448,0.034918123957239075,14.338140576384635,0,0,0.0,0.0
12/03/2023,5165412,00:23:38,307243,153.08,23.54,38147.06,3411613287,14737696,0.035013447136453005,16.812138925866495,1,0,0.0,0.0
12/04/2022,4110764,00:23:02,235463,124.02,19.4,28580.39,3134153450,12396241,0.03572622510073553,17.458216365203874,0,0,0.0,0.0
12/05/2021,4273933,00:21:16,243546,105.39,17.2,23315.14,2973686567,10258670,0.029371578824469172,17.548771074047615,0,0,0.0,0.0
12/06/2020,5772250,00:05:43,376273,72.31,6.08,18891.9,2708674258,9257319,0.013906424704404695,15.340590475532393,1,0,0.0,0.0
12/08/2024,4239651,00:32:31,273264,115.31,18.56,46605.03,3651890685,17254588,0.03233352934003294,15.514853767784999,0,0,0.0,0.0
12/10/2023,5297784,00:23:30,308622,157.81,25.27,38330.14,3416911071,14781104,0.03538723360559812,17.16593113906332,1,0,0.0,0.0
12/11/2022,4254462,00:22:57,238796,122.44,19.64,28721.39,3138403003,12436231,0.03419701950563902,17.816303455669274,0,0,0.0,0.0
12/12/2021,4401032,00:21:25,243384,105.25,17.8,23437.87,2978074813,10289652,0.028630375784588706,18.08266771850245,0,0,0.0,0.0
12/13/2020,5970896,00:05:45,376212,70.82,6.83,18969.55,2714645154,9274071,0.013316862326860154,15.871093957662168,1,0,0.0,0.0
12/15/2024,4065111,00:32:14,259633,111.88,17.57,46734.48,3655955796,17304083,0.03260840847888286,15.6571429671883,0,0,0.0,0.0
12/17/2023,5171875,00:23:40,308622,154.4,24.68,38509.23,3422082946,14820681,0.03545675794561934,16.757959575143705,1,0,0.0,0.0
12/18/2022,3933744,00:23:02,229497,118.5,17.38,28856.39,3142331004,12469435,0.03537116802720258,17.140720793735866,0,0,0.0,0.0
12/19/2021,4280458,00:21:35,238392,107.81,17.33,23562.68,2982343734,10318906,0.029936833862170824,17.955543810194975,0,0,0.0,0.0
12/20/2020,5179261,00:05:54,345424,65.52,5.53,19040.6,2719824415,9287019,0.0140474094663312,14.993923410069943,1,0,0.0,0.0
12/22/2024,3980505,00:32:15,255335,109.92,17.31,46861.71,3659936301,17355262,0.03273039978595681,15.58934341159653,0,0,0.0,0.0
12/24/2023,4991847,00:23:38,302184,147.02,22.64,38678.9,3427074793,14865137,0.03480311796415235,16.51923000555953,1,0,0.0,0.0
12/25/2022,3723756,00:23:13,224668,108.69,16.82,28856.39,3142333488,12506835,0.034514141098396345,16.574483237488206,0,0,0.0,0.0
12/26/2021,3718831,00:21:54,226217,93.79,16.58,23672.77,2986050555,10351030,0.030390969635350464,16.439219864112776,0,0,0.0,
12/27/2020,5340185,00:05:47,356229,61.49,5.26,19107.34,2725164600,9302150,0.012799556569669402,14.990876655185287,1,0,0.0,
12/29/2024,3630688,00:33:06,251755,101.6,18.47,46981.78,3663566969,17417837,0.033864567817449474,14.421512978888204,0,0,0.0,
12/31/2023,4783389,00:24:04,305651,142.53,23.7,38845.12,3431858182,14926663,0.035585548237870676,15.649839195683967,0,0,,
